"","Year","Adopters"
"1",1981,1
"2",1982,72
"3",1983,116
"4",1984,152
"5",1985,161
"6",1986,178
"7",1987,213
"8",1988,285
"9",1989,375
"10",1990,489
"11",1991,629
"12",1992,782
"13",1993,927
"14",1994,1025
"15",1995,1071
"16",1996,1091
"17",1997,1109
"18",1998,1117
"19",1999,1185
"20",2000,1223
"21",2001,1271
"22",2002,1282
"23",2003,1303
"24",2004,1320
"25",2005,1372
"26",2006,1404
"27",2007,1433
"28",2008,1469
"29",2009,1493
"30",2010,1510
"31",2011,1524
"32",2012,1537
"33",2013,1551
"34",2014,1552
"35",2015,1552
"36",2016,1552
