"","Year","Adopters"
"1",1869,1
"2",1870,1
"3",1871,1
"4",1872,1
"5",1873,1
"6",1874,2
"7",1875,2
"8",1876,2
"9",1877,2
"10",1878,2
"11",1879,2
"12",1880,2
"13",1881,2
"14",1882,2
"15",1883,2
"16",1884,2
"17",1885,2
"18",1886,2
"19",1887,2
"20",1888,2
"21",1889,2
"22",1890,2
"23",1891,2
"24",1892,2
"25",1893,2
"26",1894,2
"27",1895,3
"28",1896,3
"29",1897,3
"30",1898,3
"31",1899,3
"32",1900,3
"33",1901,4
"34",1902,5
"35",1903,5
"36",1904,5
"37",1905,5
"38",1906,5
"39",1907,5
"40",1908,6
"41",1909,8
"42",1910,8
"43",1911,8
"44",1912,8
"45",1913,8
"46",1914,9
"47",1915,9
"48",1916,9
"49",1917,9
"50",1918,9
"51",1919,12
"52",1920,13
"53",1921,13
"54",1922,13
"55",1923,13
"56",1924,14
"57",1925,15
"58",1926,16
"59",1927,19
"60",1928,19
"61",1929,20
"62",1930,20
"63",1931,20
"64",1932,22
"65",1933,23
"66",1934,23
"67",1935,24
"68",1936,25
"69",1937,25
"70",1938,25
"71",1939,26
"72",1940,26
"73",1941,28
"74",1942,29
"75",1943,29
"76",1944,29
"77",1945,29
"78",1946,29
"79",1947,29
"80",1948,31
"81",1949,31
"82",1950,32
"83",1951,32
"84",1952,32
"85",1953,32
"86",1954,32
"87",1955,32
"88",1956,34
"89",1957,36
"90",1958,36
"91",1959,38
"92",1960,39
"93",1961,41
"94",1962,44
"95",1963,46
"96",1964,47
"97",1965,47
"98",1966,49
"99",1967,50
"100",1968,51
"101",1969,52
"102",1970,54
"103",1971,56
"104",1972,60
"105",1973,64
"106",1974,65
"107",1975,71
"108",1976,74
"109",1977,77
"110",1978,81
"111",1979,83
"112",1980,87
"113",1981,90
"114",1982,91
"115",1983,94
"116",1984,95
"117",1985,99
"118",1986,100
"119",1987,105
"120",1988,108
"121",1989,109
"122",1990,111
"123",1991,111
"124",1992,115
"125",1993,117
"126",1994,118
"127",1995,120
"128",1996,123
"129",1997,126
"130",1998,129
"131",1999,131
"132",2000,135
"133",2001,137
"134",2002,140
"135",2003,141
"136",2004,141
"137",2005,142
"138",2006,143
"139",2007,143
"140",2008,144
"141",2009,146
"142",2010,146
"143",2011,147
"144",2012,148
"145",2013,150
