"","Year","Adopters"
"1",1873,1
"2",1874,1
"3",1875,1
"4",1876,1
"5",1877,1
"6",1878,1
"7",1879,1
"8",1880,1
"9",1881,1
"10",1882,1
"11",1883,1
"12",1884,1
"13",1885,1
"14",1886,1
"15",1887,1
"16",1888,1
"17",1889,1
"18",1890,1
"19",1891,1
"20",1892,1
"21",1893,1
"22",1894,1
"23",1895,1
"24",1896,1
"25",1897,1
"26",1898,1
"27",1899,1
"28",1900,2
"29",1901,2
"30",1902,2
"31",1903,2
"32",1904,2
"33",1905,2
"34",1906,2
"35",1907,3
"36",1908,3
"37",1909,4
"38",1910,4
"39",1911,4
"40",1912,4
"41",1913,4
"42",1914,4
"43",1915,4
"44",1916,4
"45",1917,5
"46",1918,5
"47",1919,6
"48",1920,7
"49",1921,7
"50",1922,8
"51",1923,8
"52",1924,8
"53",1925,8
"54",1926,10
"55",1927,10
"56",1928,10
"57",1929,10
"58",1930,10
"59",1931,11
"60",1932,12
"61",1933,12
"62",1934,13
"63",1935,13
"64",1936,13
"65",1937,13
"66",1938,14
"67",1939,14
"68",1940,15
"69",1941,15
"70",1942,15
"71",1943,15
"72",1944,15
"73",1945,15
"74",1946,15
"75",1947,15
"76",1948,18
"77",1949,18
"78",1950,19
"79",1951,20
"80",1952,20
"81",1953,20
"82",1954,20
"83",1955,20
"84",1956,20
"85",1957,22
"86",1958,23
"87",1959,25
"88",1960,26
"89",1961,27
"90",1962,29
"91",1963,29
"92",1964,31
"93",1965,33
"94",1966,36
"95",1967,37
"96",1968,38
"97",1969,40
"98",1970,40
"99",1971,43
"100",1972,48
"101",1973,51
"102",1974,52
"103",1975,56
"104",1976,61
"105",1977,64
"106",1978,67
"107",1979,71
"108",1980,78
"109",1981,82
"110",1982,85
"111",1983,85
"112",1984,87
"113",1985,89
"114",1986,93
"115",1987,96
"116",1988,98
"117",1989,100
"118",1990,102
"119",1991,104
"120",1992,112
"121",1993,115
"122",1994,117
"123",1995,122
"124",1996,128
"125",1997,129
"126",1998,132
"127",1999,135
"128",2000,141
"129",2001,144
"130",2002,148
"131",2003,151
"132",2004,152
"133",2005,157
"134",2006,158
"135",2007,159
"136",2008,161
"137",2009,162
"138",2010,165
"139",2011,165
"140",2012,168
