"","Year","Adopters"
"1",1974,1
"2",1975,1
"3",1976,1
"4",1977,1
"5",1978,1
"6",1979,1
"7",1980,2
"8",1981,2
"9",1982,4
"10",1983,4
"11",1984,4
"12",1985,5
"13",1986,9
"14",1987,13
"15",1988,16
"16",1989,17
"17",1990,19
"18",1991,26
"19",1992,30
"20",1993,42
"21",1994,59
"22",1995,72
"23",1996,103
"24",1997,134
"25",1998,152
"26",1999,179
"27",2000,206
"28",2001,233
"29",2002,275
"30",2003,312
"31",2004,328
"32",2005,362
"33",2006,390
"34",2007,402
"35",2008,407
"36",2009,413
"37",2010,418
"38",2011,427
"39",2012,432
"40",2013,437
"41",2014,437
"42",2015,440
