"","Year","Adopters"
"1",1819,1
"2",1820,1
"3",1821,1
"4",1822,1
"5",1823,1
"6",1824,1
"7",1825,1
"8",1826,1
"9",1827,1
"10",1828,1
"11",1829,1
"12",1830,1
"13",1831,1
"14",1832,1
"15",1833,1
"16",1834,1
"17",1835,1
"18",1836,1
"19",1837,1
"20",1838,1
"21",1839,1
"22",1840,1
"23",1841,1
"24",1842,1
"25",1843,1
"26",1844,1
"27",1845,1
"28",1846,1
"29",1847,1
"30",1848,1
"31",1849,1
"32",1850,1
"33",1851,1
"34",1852,1
"35",1853,1
"36",1854,1
"37",1855,1
"38",1856,1
"39",1857,1
"40",1858,1
"41",1859,1
"42",1860,1
"43",1861,1
"44",1862,1
"45",1863,1
"46",1864,1
"47",1865,1
"48",1866,1
"49",1867,1
"50",1868,1
"51",1869,1
"52",1870,1
"53",1871,1
"54",1872,1
"55",1873,5
"56",1874,5
"57",1875,6
"58",1876,6
"59",1877,6
"60",1878,6
"61",1879,6
"62",1880,7
"63",1881,7
"64",1882,7
"65",1883,7
"66",1884,7
"67",1885,8
"68",1886,8
"69",1887,8
"70",1888,8
"71",1889,8
"72",1890,8
"73",1891,8
"74",1892,8
"75",1893,8
"76",1894,8
"77",1895,9
"78",1896,9
"79",1897,9
"80",1898,10
"81",1899,11
"82",1900,12
"83",1901,12
"84",1902,13
"85",1903,16
"86",1904,16
"87",1905,19
"88",1906,20
"89",1907,22
"90",1908,23
"91",1909,24
"92",1910,26
"93",1911,26
"94",1912,29
"95",1913,31
"96",1914,34
"97",1915,34
"98",1916,36
"99",1917,37
"100",1918,37
"101",1919,38
"102",1920,40
"103",1921,41
"104",1922,43
"105",1923,43
"106",1924,44
"107",1925,46
"108",1926,53
"109",1927,54
"110",1928,58
"111",1929,63
"112",1930,65
"113",1931,67
"114",1932,68
"115",1933,69
"116",1934,72
"117",1935,73
"118",1936,76
"119",1937,78
"120",1938,82
"121",1939,85
"122",1940,87
"123",1941,88
"124",1942,90
"125",1943,92
"126",1944,92
"127",1945,93
"128",1946,93
"129",1947,94
"130",1948,100
"131",1949,100
"132",1950,103
"133",1951,105
"134",1952,106
"135",1953,106
"136",1954,110
"137",1955,115
"138",1956,115
"139",1957,117
"140",1958,120
"141",1959,128
"142",1960,131
"143",1961,133
"144",1962,137
"145",1963,138
"146",1964,139
"147",1965,140
"148",1966,146
"149",1967,146
"150",1968,149
"151",1969,151
"152",1970,152
"153",1971,154
"154",1972,157
"155",1973,158
"156",1974,158
"157",1975,162
"158",1976,165
"159",1977,166
"160",1978,167
"161",1979,172
"162",1980,176
"163",1981,177
"164",1982,178
"165",1983,181
"166",1984,183
"167",1985,185
"168",1986,187
"169",1987,189
"170",1988,190
"171",1989,191
"172",1990,194
"173",1991,194
"174",1992,195
"175",1993,196
"176",1994,198
"177",1995,202
"178",1996,203
"179",1997,206
"180",1998,208
"181",1999,208
"182",2000,210
"183",2001,211
"184",2002,211
"185",2003,214
"186",2004,215
"187",2005,215
"188",2006,217
"189",2007,218
"190",2008,220
"191",2009,221
"192",2010,221
"193",2011,222
"194",2012,223
"195",2013,227
