"","Year","Adopters"
"1",1974,1
"2",1975,1
"3",1976,11
"4",1977,36
"5",1978,42
"6",1979,53
"7",1980,57
"8",1981,62
"9",1982,64
"10",1983,68
"11",1984,71
"12",1985,71
"13",1986,76
"14",1987,76
"15",1988,76
"16",1989,77
"17",1990,80
"18",1991,80
"19",1992,82
"20",1993,85
"21",1994,85
"22",1995,85
"23",1996,87
"24",1997,91
"25",1998,92
"26",1999,92
"27",2000,96
"28",2001,98
"29",2002,99
"30",2003,101
"31",2004,101
"32",2005,106
"33",2006,106
"34",2007,109
"35",2008,109
"36",2009,112
"37",2010,114
"38",2011,118
"39",2012,119
